Name,Age,Gender,Computer Network,Web Computing,Machine Learning,Data Warehouse and Mining,Statistics,Total,Percentage,Result
Pihu Patel,24,Male,52,70,46,100,69,337,67.4,Successful
Ananya Sharma,21,Male,82,70,97,46,56,351,70.2,Successful
Rudra Sharma,20,Female,52,44,47,59,73,275,55,Successful
Darsh Shah,24,Female,77,70,36,89,89,361,72.2,Successful
Aditi Patel,23,Male,38,46,47,81,45,257,51.4,Successful
Atharva Sharma,21,Male,51,36,33,59,45,224,44.8,Successful
Shaurya Patel,21,Male,91,70,97,54,69,381,76.2,Successful
Myra Patel,23,Female,52,90,68,44,45,299,59.8,Successful
Shreyansh Shah,20,Female,52,70,97,89,83,391,78.2,Successful
Kabir Shah,23,Male,52,72,35,74,45,278,55.6,Successful
Aaradhya Patel,21,Female,41,44,96,65,91,337,67.4,Successful
Pihu Shah,20,Male,52,78,51,93,77,351,70.2,Successful
Ansh Shah,20,Male,53,70,97,94,45,359,71.8,Successful
Myra Patel,23,Male,70,70,97,79,80,396,79.2,Successful
Sai Shah,19,Male,52,84,97,89,96,418,83.6,Successful
Neha Patel,24,Male,71,99,55,75,33,333,66.6,Successful
Aarush Shah,23,Female,52,84,74,89,45,344,68.8,Successful
Sai Sharma,22,Female,77,68,97,89,45,376,75.2,Successful
Aditi Shah,20,Female,52,58,68,98,45,321,64.2,Successful
Krish Sharma,23,Female,95,70,62,85,37,349,69.8,Successful
Neha Sharma,19,Male,52,46,96,90,41,325,65,Successful
Darsh Sharma,22,Male,91,45,39,67,33,275,55,Successful
Nidhi Shah,19,Female,83,60,59,48,64,314,62.8,Successful
Aadhya Shah,22,Female,52,70,52,36,45,255,51,Successful
Vihaan Shah,24,Male,52,35,97,92,45,321,64.2,Successful
Nidhi Patel,20,Male,52,79,75,63,34,303,60.6,Successful
Rudra Shah,21,Female,99,43,97,89,43,371,74.2,Successful
Kian Shah,24,Male,71,70,96,84,45,366,73.2,Successful
Aditya Sharma,22,Female,41,70,97,43,63,314,62.8,Successful
Myra Patel,22,Male,63,53,48,79,44,287,57.4,Successful
Khushi Shah,22,Female,58,44,84,38,96,320,64,Successful
Aaryan Shah,20,Female,68,70,97,89,73,397,79.4,Successful
Aryan Shah,24,Male,64,46,83,89,45,327,65.4,Successful
Saanvi Sharma,21,Male,74,48,41,68,45,276,55.2,Successful
Aaryan Sharma,21,Male,64,70,97,89,58,378,75.6,Successful
Reyansh Shah,23,Female,91,45,46,85,80,347,69.4,Successful
Aditya Patel,23,Female,97,70,66,92,45,370,74,Successful
Advik Shah,20,Male,52,70,79,38,94,333,66.6,Successful
Aaryan Sharma,22,Male,92,43,86,59,71,351,70.2,Successful
Dhruv Patel,22,Male,83,65,87,89,37,361,72.2,Successful
Ritik Sharma,23,Male,33,50,97,89,45,314,62.8,Successful
Aaradhya Shah,21,Female,67,99,89,81,45,381,76.2,Successful
Dhruv Shah,24,Male,77,41,77,88,71,354,70.8,Successful
Aarav Sharma,23,Female,76,70,41,72,97,356,71.2,Successful
Riya Sharma,22,Male,52,42,35,69,45,243,48.6,Successful
Atharva Sharma,19,Female,52,78,90,89,96,405,81,Successful
Reyansh Shah,20,Female,46,70,69,58,65,308,61.6,Successful
Vivaan Patel,20,Male,89,70,71,46,90,366,73.2,Successful
Saanvi Sharma,19,Female,55,67,68,46,52,288,57.6,Successful
Pranav Shah,20,Male,52,70,97,37,81,337,67.4,Successful
Aarush Sharma,19,Female,73,95,76,51,59,354,70.8,Successful
Aarush Sharma,21,Female,52,71,49,91,55,318,63.6,Successful
Kian Sharma,20,Female,72,70,92,46,63,343,68.6,Successful
Kabir Sharma,23,Female,52,86,79,73,45,335,67,Successful
Ananya Shah,22,Male,59,42,33,92,96,322,64.4,Successful
Aarush Sharma,20,Female,95,53,97,89,65,399,79.8,Successful
Shaurya Patel,21,Female,52,53,71,89,57,322,64.4,Successful
Aadhya Sharma,23,Female,68,50,92,89,45,344,68.8,Successful
Aditya Sharma,19,Female,42,70,39,89,45,285,57,Successful
Aaradhya Shah,20,Female,71,71,97,52,45,336,67.2,Successful
Arjun Patel,19,Male,38,84,70,67,49,308,61.6,Successful
Krish Sharma,19,Female,61,70,41,93,98,363,72.6,Successful
Dhruv Sharma,21,Female,40,54,46,98,99,337,67.4,Successful
Darsh Sharma,21,Female,83,63,70,69,98,383,76.6,Successful
Aarush Sharma,20,Female,42,35,97,89,45,308,61.6,Successful
Aadi Sharma,24,Male,52,35,33,89,94,303,60.6,Successful
Aaradhya Patel,24,Male,33,92,87,42,45,299,59.8,Successful
Mohammad Patel,20,Female,42,79,67,66,44,298,59.6,Successful
Aadhya Sharma,19,Male,55,47,50,40,72,264,52.8,Successful
Advik Shah,23,Female,52,43,68,89,45,297,59.4,Successful
Mohammad Shah,21,Male,52,70,44,89,83,338,67.6,Successful
Aditi Patel,21,Female,58,70,87,64,89,368,73.6,Successful
Mohammad Patel,20,Male,83,63,97,89,84,416,83.2,Successful
Neha Patel,24,Male,52,70,97,78,81,378,75.6,Successful
Ishaan Sharma,20,Female,52,70,97,89,76,384,76.8,Successful
Arnav Patel,23,Female,82,95,97,89,44,407,81.4,Successful
Reyansh Sharma,24,Female,41,44,49,89,45,268,53.6,Successful
Aayan Patel,19,Female,37,70,50,89,47,293,58.6,Successful
Vihaan Sharma,23,Female,74,70,42,82,45,313,62.6,Successful
Aditya Patel,21,Male,88,39,37,80,45,289,57.8,Successful
Aditi Shah,20,Female,52,86,50,70,43,301,60.2,Successful
Shreya Shah,20,Male,77,70,34,61,58,300,60,Successful
Krish Patel,23,Male,52,37,52,79,54,274,54.8,Successful
Vihaan Sharma,20,Male,41,68,91,46,74,320,64,Successful
Ishaan Patel,23,Male,61,45,79,45,63,293,58.6,Successful
Riya Shah,19,Female,52,70,97,84,61,364,72.8,Successful
Arjun Patel,19,Female,36,84,97,89,57,363,72.6,Successful
Aaryan Patel,23,Female,52,95,81,61,45,334,66.8,Successful
Atharva Sharma,19,Female,58,34,97,52,45,286,57.2,Successful
Atharva Sharma,23,Male,60,70,96,89,57,372,74.4,Successful
Khushi Patel,20,Female,52,70,97,89,45,353,70.6,Successful
Dhruv Shah,21,Female,56,70,88,97,69,380,76,Successful
Aryan Sharma,21,Male,52,58,34,89,48,281,56.2,Successful
Aadhya Patel,24,Male,92,46,72,89,45,344,68.8,Successful
Vivaan Shah,20,Male,99,70,37,45,53,304,60.8,Successful
Aditi Sharma,24,Female,45,70,63,89,45,312,62.4,Successful
Dhruv Sharma,20,Male,86,70,73,99,45,373,74.6,Successful
Riya Sharma,22,Female,43,72,54,89,37,295,59,Successful
Aaryan Shah,23,Female,52,86,97,45,100,380,76,Successful
Aditi Patel,21,Female,52,90,97,39,71,349,69.8,Successful
Shreyansh Shah,22,Female,56,37,97,68,88,346,69.2,Successful
Kian Sharma,20,Female,84,45,35,80,70,314,62.8,Successful
Nandini Sharma,23,Female,42,69,90,34,100,335,67,Successful
Saanvi Sharma,21,Male,52,41,39,34,45,211,42.2,Successful
Rudra Patel,24,Female,52,40,97,89,45,323,64.6,Successful
Aadi Patel,20,Female,88,70,97,61,44,360,72,Successful
Ananya Shah,21,Female,86,41,99,73,93,392,78.4,Successful
Dhruv Shah,22,Female,40,70,91,89,45,335,67,Successful
Mohammad Patel,20,Male,68,70,97,81,40,356,71.2,Successful
Aarav Shah,23,Female,85,59,90,55,86,375,75,Successful
Jiya Sharma,21,Male,97,70,81,89,94,431,86.2,Successful
Shreya Patel,20,Female,92,90,65,96,39,382,76.4,Successful
Vivaan Shah,20,Female,68,70,38,89,83,348,69.6,Successful
Myra Shah,20,Male,79,64,46,95,89,373,74.6,Successful
Sara Shah,21,Female,48,57,69,44,45,263,52.6,Successful
Ritik Patel,21,Male,52,88,97,89,45,371,74.2,Successful
Kabir Patel,19,Male,97,43,91,89,39,359,71.8,Successful
Vihaan Sharma,19,Male,52,50,49,97,67,315,63,Successful
Ritik Sharma,22,Female,52,70,96,66,35,319,63.8,Successful
Vihaan Sharma,23,Female,52,70,64,89,45,320,64,Successful
Krish Patel,22,Male,52,100,74,33,38,297,59.4,Successful
Khushi Patel,23,Female,54,93,55,53,37,292,58.4,Successful
Saanvi Patel,20,Male,33,60,87,89,33,302,60.4,Successful
Aadi Shah,24,Male,73,35,97,89,69,363,72.6,Successful
Aditya Patel,24,Male,83,78,67,89,45,362,72.4,Successful
Aarush Patel,24,Male,52,77,51,46,45,271,54.2,Successful
Sara Patel,20,Female,94,58,97,38,100,387,77.4,Successful
Shreya Sharma,23,Female,35,55,84,89,45,308,61.6,Successful
Shaurya Sharma,19,Female,50,65,55,65,45,280,56,Successful
Shreya Sharma,20,Male,47,70,34,89,45,285,57,Successful
Aarush Sharma,20,Male,92,70,47,79,45,333,66.6,Successful
Neha Patel,19,Female,52,95,59,89,80,375,75,Successful
Darsh Sharma,24,Female,86,70,87,97,54,394,78.8,Successful
Aditi Shah,24,Female,52,36,97,35,87,307,61.4,Successful
Darsh Sharma,21,Male,90,98,78,59,45,370,74,Successful
Aditi Patel,22,Female,51,50,97,35,62,295,59,Successful
Saanvi Patel,21,Male,58,75,97,78,45,353,70.6,Successful
Dhruv Shah,23,Female,84,56,83,89,39,351,70.2,Successful
Kabir Patel,19,Female,52,60,75,89,55,331,66.2,Successful
Aarav Sharma,20,Female,92,97,61,35,52,337,67.4,Successful
Aditya Shah,24,Female,97,56,84,89,45,371,74.2,Successful
Aarush Patel,21,Male,52,70,49,52,47,270,54,Successful
Arjun Sharma,24,Female,39,70,66,89,45,309,61.8,Successful
Riya Patel,19,Male,93,68,36,39,68,304,60.8,Successful
Vivaan Patel,22,Female,54,44,72,52,74,296,59.2,Successful
Riya Sharma,22,Female,48,88,35,89,78,338,67.6,Successful
Aayan Patel,20,Female,95,70,83,77,89,414,82.8,Successful
Nandini Patel,20,Female,49,70,61,89,56,325,65,Successful
Aadi Sharma,21,Female,52,62,97,59,45,315,63,Successful
Ritik Shah,23,Female,52,70,58,41,96,317,63.4,Successful
Ishaan Sharma,22,Female,52,69,50,47,76,294,58.8,Successful
Shreyansh Patel,23,Female,82,70,53,89,45,339,67.8,Successful
Shreya Shah,21,Male,52,70,66,89,45,322,64.4,Successful
Ishaan Sharma,19,Female,47,75,96,66,45,329,65.8,Successful
Riya Patel,23,Male,96,53,37,92,45,323,64.6,Successful
Pranav Sharma,24,Female,35,73,95,73,55,331,66.2,Successful
Aditi Sharma,21,Female,69,65,71,46,45,296,59.2,Successful
Reyansh Sharma,23,Male,62,90,67,75,85,379,75.8,Successful
Aditya Shah,24,Female,33,100,72,79,44,328,65.6,Successful
Atharva Sharma,23,Female,52,67,93,89,38,339,67.8,Successful
Krish Shah,20,Female,52,53,97,83,89,374,74.8,Successful
Aarav Shah,22,Female,42,51,97,89,45,324,64.8,Successful
Pranav Patel,22,Female,88,87,97,76,45,393,78.6,Successful
Ananya Shah,24,Female,38,98,97,61,53,347,69.4,Successful
Mohammad Sharma,20,Male,65,67,93,89,44,358,71.6,Successful
Vivaan Shah,24,Female,45,70,97,38,45,295,59,Successful
Aaryan Sharma,22,Female,100,99,56,83,94,432,86.4,Successful
Rudra Patel,19,Male,71,48,53,91,45,308,61.6,Successful
Reyansh Sharma,21,Female,52,70,84,89,45,340,68,Successful
Aadi Shah,19,Female,43,94,92,69,77,375,75,Successful
Ansh Sharma,20,Male,52,47,37,61,79,276,55.2,Successful
Pihu Sharma,19,Female,70,70,97,79,72,388,77.6,Successful
Nandini Shah,21,Male,52,61,38,52,45,248,49.6,Successful
Pranav Sharma,23,Female,48,53,43,74,40,258,51.6,Successful
Vihaan Shah,20,Female,80,77,58,85,45,345,69,Successful
Nandini Shah,23,Male,52,74,82,89,46,343,68.6,Successful
Dhruv Sharma,19,Female,55,65,75,89,45,329,65.8,Successful
Shreyansh Sharma,22,Male,52,70,92,36,76,326,65.2,Successful
Shaurya Sharma,22,Female,76,70,52,58,45,301,60.2,Successful
Shaurya Patel,22,Male,94,70,88,41,99,392,78.4,Successful
Arnav Sharma,19,Male,89,60,49,67,45,310,62,Successful
Krish Shah,23,Male,52,70,97,41,46,306,61.2,Successful
Myra Sharma,23,Female,52,99,39,96,53,339,67.8,Successful
Riya Sharma,22,Female,52,70,97,65,71,355,71,Successful
Arjun Patel,21,Female,63,70,97,80,56,366,73.2,Successful
Saanvi Patel,19,Male,66,47,97,78,67,355,71,Successful
Myra Sharma,23,Female,43,92,97,67,45,344,68.8,Successful
Sara Shah,22,Male,90,42,68,68,45,313,62.6,Successful
Aadi Patel,19,Female,48,70,98,89,42,347,69.4,Successful
Arjun Sharma,23,Male,69,92,97,89,49,396,79.2,Successful
Rudra Patel,21,Female,71,98,46,64,45,324,64.8,Successful
Vivaan Patel,23,Female,52,100,97,52,69,370,74,Successful
Aarush Shah,24,Male,52,80,97,89,45,363,72.6,Successful
Jiya Shah,20,Male,54,46,97,66,65,328,65.6,Successful
Kian Patel,22,Female,52,70,99,86,71,378,75.6,Successful
Ansh Patel,20,Male,52,94,59,35,92,332,66.4,Successful
Anvi Shah,23,Female,95,46,56,48,39,284,56.8,Successful
Pranav Sharma,22,Female,57,92,77,89,61,376,75.2,Successful
Kabir Patel,21,Male,39,54,72,94,56,315,63,Successful
Dhruv Patel,22,Female,63,38,81,44,67,293,58.6,Successful
Shaurya Sharma,24,Male,52,70,82,83,67,354,70.8,Successful
Ansh Shah,22,Female,49,49,73,88,45,304,60.8,Successful
Riya Sharma,20,Female,52,57,97,89,45,340,68,Successful
Shaurya Shah,20,Female,52,94,97,41,45,329,65.8,Successful
Shreya Patel,24,Female,52,51,47,36,90,276,55.2,Successful
Aayan Sharma,19,Female,52,70,97,93,90,402,80.4,Successful
Ishaan Shah,21,Male,46,53,97,97,79,372,74.4,Successful
Vivaan Sharma,24,Male,79,70,97,89,88,423,84.6,Successful
Advik Sharma,21,Male,52,36,46,97,45,276,55.2,Successful
Kian Shah,23,Female,52,95,78,59,45,329,65.8,Successful
Shreyansh Sharma,24,Female,98,72,57,63,60,350,70,Successful
Rudra Patel,22,Female,55,42,97,44,35,273,54.6,Successful
Arnav Shah,21,Male,52,70,59,45,45,271,54.2,Successful
Aaradhya Patel,21,Female,51,70,51,70,47,289,57.8,Successful
Kian Patel,20,Female,52,55,97,89,45,338,67.6,Successful
Myra Patel,23,Female,52,95,36,62,52,297,59.4,Successful
Riya Sharma,19,Male,64,70,85,35,45,299,59.8,Successful
Nidhi Patel,24,Female,96,70,97,89,44,396,79.2,Successful
Aarush Patel,22,Female,71,76,41,65,95,348,69.6,Successful
Reyansh Sharma,22,Female,36,69,93,70,45,313,62.6,Successful
Ishaan Patel,23,Female,52,47,49,84,55,287,57.4,Successful
Ishaan Sharma,21,Female,52,78,43,35,41,249,49.8,Successful
Darsh Shah,19,Female,52,56,97,81,78,364,72.8,Successful
Myra Patel,20,Male,52,47,41,89,45,274,54.8,Successful
Shreya Sharma,20,Female,35,70,67,68,53,293,58.6,Successful
Jiya Patel,19,Female,85,43,97,89,61,375,75,Successful
Nandini Sharma,23,Male,52,70,75,73,83,353,70.6,Successful
Dhruv Sharma,20,Male,39,59,97,89,43,327,65.4,Successful
Shreyansh Sharma,23,Male,89,54,97,54,73,367,73.4,Successful
Arjun Shah,21,Female,96,70,72,59,62,359,71.8,Successful
Shaurya Patel,22,Male,77,91,33,95,45,341,68.2,Successful
Aadhya Patel,19,Male,66,88,94,89,81,418,83.6,Successful
Aditya Shah,22,Male,53,70,97,89,79,388,77.6,Successful
Arjun Sharma,22,Male,52,98,83,70,45,348,69.6,Successful
Aaryan Sharma,22,Male,99,73,38,68,45,323,64.6,Successful
Arnav Shah,23,Female,62,54,51,89,71,327,65.4,Successful
Aditi Shah,22,Female,52,73,40,45,45,255,51,Successful
Ananya Shah,23,Male,52,98,97,96,45,388,77.6,Successful
Aarush Sharma,23,Female,56,47,97,46,57,303,60.6,Successful
Saanvi Shah,22,Male,53,71,49,94,38,305,61,Successful
Aarav Shah,23,Female,96,80,97,66,45,384,76.8,Successful
Anvi Sharma,23,Female,80,86,75,62,45,348,69.6,Successful
Aadhya Shah,21,Male,66,91,45,73,60,335,67,Successful
Nandini Shah,20,Female,59,70,94,89,45,357,71.4,Successful
Pihu Shah,20,Female,73,66,98,63,87,387,77.4,Successful
Ishaan Sharma,23,Female,71,53,56,89,45,314,62.8,Successful
Aarush Sharma,24,Female,95,70,97,56,94,412,82.4,Successful
Mohammad Sharma,21,Female,36,70,41,98,67,312,62.4,Successful
Vihaan Patel,21,Male,52,57,97,39,60,305,61,Successful
Aditi Patel,21,Female,52,70,97,89,45,353,70.6,Successful
Aarav Patel,20,Female,88,44,35,52,93,312,62.4,Successful
Kian Sharma,20,Male,40,72,97,54,45,308,61.6,Successful
Shreya Sharma,23,Female,41,61,97,95,84,378,75.6,Successful
Darsh Patel,21,Female,94,54,63,89,36,336,67.2,Successful
Nidhi Patel,23,Male,62,70,97,89,100,418,83.6,Successful
Khushi Sharma,21,Male,49,100,92,99,43,383,76.6,Successful
Aryan Shah,22,Female,75,70,99,48,88,380,76,Successful
Khushi Sharma,23,Female,52,70,80,88,45,335,67,Successful
Aaradhya Patel,22,Female,52,80,97,89,45,363,72.6,Successful
Pranav Shah,20,Female,92,49,77,64,45,327,65.4,Successful
Atharva Sharma,20,Male,91,70,78,89,45,373,74.6,Successful
Pranav Patel,21,Female,46,89,41,65,45,286,57.2,Successful
Ishaan Patel,20,Male,52,72,97,95,72,388,77.6,Successful
Pranav Sharma,23,Male,44,83,97,74,45,343,68.6,Successful
Dhruv Shah,23,Female,67,70,51,72,45,305,61,Successful
Shreya Patel,19,Female,52,70,50,89,94,355,71,Successful
Vivaan Shah,22,Male,73,70,97,73,45,358,71.6,Successful
Ritik Shah,23,Female,52,65,38,55,64,274,54.8,Successful
Saanvi Shah,21,Female,49,70,58,74,47,298,59.6,Successful
Vivaan Sharma,21,Female,52,70,75,61,45,303,60.6,Successful
Aditi Shah,24,Female,88,70,75,40,82,355,71,Successful
Aryan Sharma,20,Male,52,49,90,89,38,318,63.6,Successful
Vivaan Sharma,20,Male,42,40,97,89,45,313,62.6,Successful
Mohammad Patel,22,Female,40,49,58,34,100,281,56.2,Successful
Aadi Sharma,20,Female,52,70,97,33,49,301,60.2,Successful
Krish Sharma,23,Male,54,70,97,43,88,352,70.4,Successful
Aayan Sharma,20,Female,64,47,37,82,45,275,55,Successful
Pihu Patel,20,Female,34,70,46,68,66,284,56.8,Successful
Reyansh Sharma,21,Female,70,65,97,47,41,320,64,Successful
Aarush Shah,19,Male,66,70,84,79,45,344,68.8,Successful
Darsh Patel,22,Male,63,76,88,88,58,373,74.6,Successful
Vivaan Patel,20,Female,52,53,62,89,41,297,59.4,Successful
Aditi Sharma,19,Male,52,54,80,71,69,326,65.2,Successful
Sara Sharma,20,Male,79,58,86,70,86,379,75.8,Successful
Vihaan Sharma,19,Female,36,70,42,45,50,243,48.6,Successful
Neha Shah,23,Female,52,60,47,33,58,250,50,Successful
Aarav Patel,22,Male,48,92,82,64,42,328,65.6,Successful
Atharva Patel,19,Female,54,70,97,89,44,354,70.8,Successful
Reyansh Sharma,22,Female,55,72,65,58,92,342,68.4,Successful
Aaryan Sharma,24,Male,39,70,75,89,63,336,67.2,Successful
Sara Shah,19,Female,93,77,98,89,83,440,88,Successful
Shreya Patel,23,Male,52,72,53,34,98,309,61.8,Successful
Shreyansh Sharma,23,Male,34,53,97,89,45,318,63.6,Successful
Saanvi Shah,21,Female,52,45,97,89,45,328,65.6,Successful
Neha Sharma,19,Male,53,82,97,89,45,366,73.2,Successful
Aadhya Sharma,19,Male,77,70,97,39,34,317,63.4,Successful
Rudra Shah,22,Female,52,70,84,70,45,321,64.2,Successful
Pranav Sharma,20,Female,52,70,37,54,39,252,50.4,Successful
Shreya Patel,24,Female,52,66,56,74,45,293,58.6,Successful
Saanvi Shah,22,Female,44,74,99,84,77,378,75.6,Successful
Advik Shah,22,Female,35,46,35,95,64,275,55,Successful
Aadhya Shah,22,Female,52,70,97,96,45,360,72,Successful
Vihaan Sharma,19,Female,61,70,57,89,74,351,70.2,Successful
Rudra Shah,22,Female,67,49,97,89,72,374,74.8,Successful
Aryan Shah,24,Male,34,70,97,97,49,347,69.4,Successful
Reyansh Shah,23,Female,77,47,97,56,45,322,64.4,Successful
Vivaan Sharma,23,Female,49,35,97,64,75,320,64,Successful
Khushi Patel,19,Female,89,72,91,95,45,392,78.4,Successful
Riya Shah,24,Male,64,55,76,99,34,328,65.6,Successful
Aadhya Sharma,24,Female,100,55,58,75,45,333,66.6,Successful
Aayan Sharma,23,Female,51,52,72,89,88,352,70.4,Successful
Riya Shah,21,Male,52,70,59,98,76,355,71,Successful
Aaryan Sharma,19,Male,52,62,86,85,82,367,73.4,Successful
Darsh Sharma,20,Female,52,51,68,37,60,268,53.6,Successful
Advik Patel,22,Female,99,36,97,78,100,410,82,Successful
Sai Sharma,21,Female,47,70,54,89,45,305,61,Successful
Aditi Shah,24,Male,86,74,82,88,98,428,85.6,Successful
Myra Sharma,24,Female,52,52,88,89,45,326,65.2,Successful
Sai Sharma,20,Male,65,70,33,64,37,269,53.8,Successful
Aadhya Shah,22,Male,37,70,69,43,45,264,52.8,Successful
Arnav Patel,24,Male,86,70,73,89,39,357,71.4,Successful
Sai Patel,20,Female,95,70,97,65,42,369,73.8,Successful
Vihaan Shah,20,Female,47,91,98,75,59,370,74,Successful
Anvi Sharma,20,Male,93,70,84,70,45,362,72.4,Successful
Arnav Sharma,24,Female,52,35,48,72,48,255,51,Successful
Ritik Sharma,23,Female,83,70,74,33,45,305,61,Successful
Aadi Patel,21,Female,99,69,75,95,45,383,76.6,Successful
Krish Sharma,20,Female,52,70,38,71,45,276,55.2,Successful
Vivaan Patel,21,Female,52,68,91,89,49,349,69.8,Successful
Shreya Sharma,19,Female,88,64,97,99,45,393,78.6,Successful
Atharva Shah,23,Female,69,44,43,67,45,268,53.6,Successful
Reyansh Shah,19,Male,58,66,97,89,48,358,71.6,Successful
Neha Shah,23,Female,68,80,92,89,76,405,81,Successful
Pranav Sharma,22,Female,53,51,97,89,33,323,64.6,Successful
Aadi Shah,23,Female,52,70,41,98,83,344,68.8,Successful
Aarav Shah,23,Male,45,42,97,73,45,302,60.4,Successful
Arjun Patel,23,Male,98,70,97,39,64,368,73.6,Successful
Aayan Sharma,24,Male,52,70,42,74,59,297,59.4,Successful
Shreyansh Shah,22,Male,52,70,71,89,97,379,75.8,Successful
Sara Sharma,23,Female,52,75,69,89,45,330,66,Successful
Ansh Patel,22,Female,34,70,55,89,45,293,58.6,Successful
Jiya Sharma,24,Female,77,94,38,56,98,363,72.6,Successful
Reyansh Patel,21,Male,52,52,87,96,45,332,66.4,Successful
Ananya Sharma,21,Female,77,70,62,67,45,321,64.2,Successful
Saanvi Patel,20,Male,93,96,74,89,67,419,83.8,Successful
Riya Patel,21,Male,37,80,79,87,94,377,75.4,Successful
Saanvi Sharma,21,Male,52,70,71,74,82,349,69.8,Successful
Aryan Sharma,24,Female,52,48,69,40,66,275,55,Successful
Jiya Sharma,24,Female,52,72,97,89,45,355,71,Successful
Aadhya Shah,21,Female,70,70,85,93,88,406,81.2,Successful
Vivaan Sharma,24,Female,52,87,33,89,45,306,61.2,Successful
Neha Sharma,21,Female,52,70,97,89,51,359,71.8,Successful
Ishaan Shah,22,Female,90,92,43,94,45,364,72.8,Successful
Riya Sharma,24,Female,67,76,64,65,69,341,68.2,Successful
Nandini Shah,21,Male,82,70,83,44,97,376,75.2,Successful
Jiya Patel,24,Male,93,70,59,98,76,396,79.2,Successful
Shreyansh Patel,21,Female,66,66,97,80,78,387,77.4,Successful
Advik Shah,21,Male,41,70,97,95,73,376,75.2,Successful
Riya Shah,24,Female,33,36,97,76,45,287,57.4,Successful
Ansh Patel,23,Male,95,47,89,89,45,365,73,Successful
Riya Patel,22,Male,89,89,97,89,45,409,81.8,Successful
Myra Sharma,21,Female,52,59,97,89,43,340,68,Successful
Shaurya Shah,20,Female,52,53,41,37,45,228,45.6,Successful
Mohammad Shah,20,Male,40,67,97,71,45,320,64,Successful
Mohammad Sharma,24,Male,96,70,97,47,45,355,71,Successful
Kabir Patel,21,Male,90,70,38,89,94,381,76.2,Successful
Shreya Patel,21,Female,100,49,97,79,45,370,74,Successful
Sai Sharma,24,Male,52,93,48,89,45,327,65.4,Successful
Shreyansh Shah,19,Female,52,50,64,89,55,310,62,Successful
Aarush Shah,19,Female,52,95,97,68,54,366,73.2,Successful
Advik Sharma,20,Male,78,81,97,78,88,422,84.4,Successful
Ritik Sharma,22,Female,59,100,68,48,93,368,73.6,Successful
Aditya Sharma,21,Female,70,70,52,35,45,272,54.4,Successful
Khushi Sharma,23,Female,81,69,97,92,58,397,79.4,Successful
Myra Sharma,23,Male,96,70,89,89,57,401,80.2,Successful
Sai Shah,24,Male,53,70,97,68,71,359,71.8,Successful
Sara Patel,23,Female,52,69,94,49,82,346,69.2,Successful
Dhruv Shah,21,Female,74,79,97,85,98,433,86.6,Successful
Sara Sharma,19,Female,91,77,97,58,45,368,73.6,Successful
Ansh Shah,20,Male,52,70,83,43,74,322,64.4,Successful
Sai Shah,24,Male,83,40,87,57,95,362,72.4,Successful
Vivaan Sharma,20,Male,52,70,97,69,63,351,70.2,Successful
Khushi Sharma,20,Male,59,86,97,66,72,380,76,Successful
Jiya Sharma,24,Male,52,66,97,95,74,384,76.8,Successful
Arnav Sharma,24,Female,52,93,97,89,84,415,83,Successful
Aarush Shah,24,Female,66,70,97,50,92,375,75,Successful
Aditya Shah,22,Male,34,74,80,44,45,277,55.4,Successful
Pranav Sharma,22,Female,71,76,92,90,58,387,77.4,Successful
Ritik Patel,23,Female,52,70,35,40,87,284,56.8,Successful
Riya Shah,24,Female,49,70,48,89,45,301,60.2,Successful
Aarush Shah,22,Male,52,70,74,94,100,390,78,Successful
Aaradhya Patel,23,Female,36,70,85,89,74,354,70.8,Successful
Saanvi Sharma,23,Male,96,70,71,89,59,385,77,Successful
Riya Patel,20,Male,44,70,97,65,38,314,62.8,Successful
Rudra Sharma,22,Female,39,86,67,89,81,362,72.4,Successful
Ishaan Patel,21,Male,99,92,62,89,90,432,86.4,Successful
Aditya Sharma,22,Female,52,98,37,36,84,307,61.4,Successful
Nandini Sharma,19,Male,52,85,39,89,42,307,61.4,Successful
Shaurya Patel,20,Female,63,70,63,78,82,356,71.2,Successful
Shreyansh Sharma,20,Male,78,70,97,92,82,419,83.8,Successful
Darsh Shah,20,Female,52,75,84,35,49,295,59,Successful
Rudra Sharma,21,Male,53,90,97,89,45,374,74.8,Successful
Aarav Shah,22,Male,52,36,44,40,59,231,46.2,Successful
Myra Sharma,20,Female,77,70,97,89,45,378,75.6,Successful
Aarush Shah,23,Female,53,38,72,39,45,247,49.4,Successful
Sara Shah,19,Male,53,50,74,65,45,287,57.4,Successful
Aaradhya Sharma,24,Female,52,70,34,90,45,291,58.2,Successful
Shaurya Sharma,20,Male,52,70,65,87,61,335,67,Successful
Vivaan Patel,21,Male,52,78,42,63,68,303,60.6,Successful
Aarush Shah,21,Female,52,98,97,34,73,354,70.8,Successful
Shreyansh Shah,19,Female,85,70,97,89,66,407,81.4,Successful
Shaurya Sharma,22,Male,52,79,93,89,45,358,71.6,Successful
Kian Sharma,22,Female,52,70,72,77,78,349,69.8,Successful
Anvi Sharma,21,Female,51,52,97,47,45,292,58.4,Successful
Aryan Sharma,21,Female,53,70,97,89,50,359,71.8,Successful
Saanvi Shah,19,Female,61,89,92,72,90,404,80.8,Successful
Kabir Patel,24,Male,52,95,68,89,65,369,73.8,Successful
Sara Sharma,20,Female,71,43,37,89,45,285,57,Successful
Arnav Patel,23,Male,96,39,97,49,81,362,72.4,Successful
